CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,800","1,913.70","1,984.05","1,800","15,450.00","9,000",0.60,0.65,50,-0.85,0.60,47.65,"46,281",559,"10,724",
,5,-12,29,-,"1,900.00",49.00,300,"1,892.65","1,906.35",50,"15,500.00","23,900",0.60,0.65,"23,500",-0.90,0.60,46.48,"83,923","-7,511","51,344",
,-,-,-,-,-,-,"1,800","1,816.25","1,922.50","1,500","15,550.00","6,600",0.65,0.95,"1,950",-0.65,0.95,47.49,"7,836",-422,"2,364",
,-,-,-,-,-,-,"1,800","1,763.10","1,832.80","1,800","15,600.00","43,750",0.80,0.90,"3,150",-0.85,0.80,45.45,"33,435","-2,396","24,581",
,-,-,-,-,-,-,"1,800","1,716.65","1,782.75","1,800","15,650.00","8,650",0.70,0.90,950,-1.00,0.80,44.26,"3,214",-170,"1,165",
,-,-,-,-,-,-,"1,800","1,663.65","1,734.35","1,800","15,700.00","18,300",0.75,0.90,150,-1.10,0.75,42.77,"55,037","-1,469","29,391",
,-,-,-,-,-,-,"1,800","1,615.30","1,685.05","1,800","15,750.00","2,800",0.80,0.95,"1,000",-1.20,0.80,41.87,"4,240",-359,"1,992",
,16,-,-,-,"1,215.00",-,150,"1,574.80","1,615.95",150,"15,800.00",450,0.85,0.90,"1,800",-1.10,0.90,41.19,"34,377","-1,819","23,337",
,-,-,-,-,-,-,150,"1,523.40","1,566.75",150,"15,850.00",800,0.85,1.00,"1,800",-1.35,0.80,39.49,"8,300",-785,"5,305",
,-,-,-,-,-,-,150,"1,481.65","1,517.25",150,"15,900.00",150,0.85,0.95,"10,150",-1.25,0.85,38.55,"47,426",-572,"18,824",
,-,-,-,-,-,-,150,"1,442.85","1,467.25",200,"15,950.00","5,400",0.90,1.10,"1,000",-1.20,1.00,38.02,"18,554","-1,079","2,773",
,"4,752","-2,938","5,564",-,"1,400.10",38.40,550,"1,394.10","1,400.00",500,"16,000.00",650,0.80,0.90,"1,250",-1.35,0.80,35.92,"1,11,156","-14,538","52,567",
,-,-,-,-,-,-,100,"1,343.20","1,367.25",400,"16,050.00",400,0.80,2.45,"1,800",0.25,2.55,39.92,"19,293",-837,"3,038",
,9,-,-,-,"1,156.90",-,700,"1,274.10","1,338.70",650,"16,100.00","37,450",0.75,2.25,"1,500",-1.50,0.80,33.54,"46,813","-4,031","9,759",
,4,1,2,-,"1,222.95",367.95,50,"1,243.10","1,267.15",150,"16,150.00",600,0.80,1.05,300,-1.50,1.05,33.35,"23,996","-1,416","3,628",
,18,-2,4,-,"1,200.70",40.40,50,"1,196.00","1,211.40",150,"16,200.00","16,100",0.85,1.35,200,-1.55,1.05,32.13,"90,121","-10,866","26,416",
,9,-,-,-,"1,069.00",-,100,"1,144.50","1,163.10",550,"16,250.00","1,000",0.95,2.40,250,-1.90,0.90,30.37,"27,759","-2,315","3,663",
,66,-18,62,-,"1,076.05",20.00,650,"1,070.50","1,112.05",850,"16,300.00","14,800",1.00,1.55,"1,550",-1.40,1.55,31.13,"1,31,511","-13,957","17,943",
,10,-,-,-,924.55,-,150,"1,043.75","1,066.55",150,"16,350.00","2,450",1.10,1.95,"1,800",-2.00,1.10,28.62,"46,100",-693,"6,236",
,271,3,11,-,"1,002.35",48.25,150,972.35,"1,028.75","1,050","16,400.00",200,1.30,1.60,"1,400",-1.80,1.60,28.70,"2,09,040","-12,615","31,028",
,10,-,-,-,874.90,-,100,945.55,970.55,150,"16,450.00",850,1.15,1.75,100,-2.65,1.05,26.01,"75,402","-1,658","12,629",
,"10,819","-1,633","3,983",-,900.65,39.10,100,897.25,902.50,250,"16,500.00","2,100",1.30,1.60,900,-2.65,1.60,26.14,"4,28,445","-14,499","95,701",
,186,-,2,-,790.20,-55.30,"2,150",840.80,858.10,750,"16,550.00",800,1.35,2.50,400,-3.25,1.30,24.19,"97,940","-5,625","7,988",
,491,-61,444,-,804.25,44.30,100,796.65,819.95,"2,600","16,600.00",100,1.50,1.75,"1,050",-3.30,1.75,23.86,"3,37,137","-9,554","43,518",
